"Страна","Первый_год","Последний_год","Число_наблюдений","Ожидаемое_число_наблюдений","Число_пропусков","Доля_пропусков","Полнота_данных"
Japan,2013,2023,11,25,14,"56%",Непрерывный ряд (5+ лет)
Rwanda,2012,2024,11,25,14,"56%",Пропуски внутри периода
Tunisia,2000,2023,12,25,13,"52%",Пропуски внутри периода
Germany,2013,2024,12,25,13,"52%",Непрерывный ряд (5+ лет)
Mauritius,2004,2022,13,25,12,"48%",Пропуски внутри периода
Ghana,2012,2024,13,25,12,"48%",Непрерывный ряд (5+ лет)
Bahrain,2003,2024,14,25,11,"44%",Пропуски внутри периода
Côte d'Ivoire,2008,2024,14,25,11,"44%",Пропуски внутри периода
South Africa,2008,2023,14,25,11,"44%",Пропуски внутри периода
Namibia,2002,2022,15,25,10,"40%",Пропуски внутри периода
Liechtenstein,2004,2021,16,25,9,"36%",Пропуски внутри периода
Oman,2007,2024,16,25,9,"36%",Пропуски внутри периода
Luxembourg,2006,2024,16,25,9,"36%",Пропуски внутри периода
Greece,2002,2023,17,25,8,"32%",Пропуски внутри периода
Thailand,2001,2024,17,25,8,"32%",Пропуски внутри периода
Serbia,2007,2024,18,25,7,"28%",Непрерывный ряд (5+ лет)
Uzbekistan,2006,2024,18,25,7,"28%",Пропуски внутри периода
Brazil,2002,2024,18,25,7,"28%",Пропуски внутри периода
Tajikistan,2000,2017,18,25,7,"28%",Непрерывный ряд (5+ лет)
Azerbaijan,2006,2024,19,25,6,"24%",Непрерывный ряд (5+ лет)
Brunei Darussalam,2000,2023,19,25,6,"24%",Пропуски внутри периода
Viet Nam,2000,2022,19,25,6,"24%",Пропуски внутри периода
Ukraine,2005,2024,19,25,6,"24%",Пропуски внутри периода
Netherlands,2000,2019,20,25,5,"20%",Непрерывный ряд (5+ лет)
"Iran, Islamic Republic of",2003,2022,20,25,5,"20%",Непрерывный ряд (5+ лет)
Lao People's Democratic Republic,2001,2020,20,25,5,"20%",Непрерывный ряд (5+ лет)
Morocco,2003,2024,20,25,5,"20%",Пропуски внутри периода
India,2000,2023,20,25,5,"20%",Пропуски внутри периода
Qatar,2002,2024,21,25,4,"16%",Пропуски внутри периода
Chile,2000,2024,21,25,4,"16%",Пропуски внутри периода
Kazakhstan,2000,2024,21,25,4,"16%",Пропуски внутри периода
Jordan,2000,2024,21,25,4,"16%",Пропуски внутри периода
Cuba,2000,2024,21,25,4,"16%",Пропуски внутри периода
Saudi Arabia,2003,2024,21,25,4,"16%",Пропуски внутри периода
El Salvador,2001,2023,21,25,4,"16%",Пропуски внутри периода
Croatia,2001,2023,22,25,3,"12%",Пропуски внутри периода
Mongolia,2000,2024,22,25,3,"12%",Пропуски внутри периода
North Macedonia,2000,2023,22,25,3,"12%",Пропуски внутри периода
Macao,2003,2024,22,25,3,"12%",Непрерывный ряд (5+ лет)
Malta,2000,2023,22,25,3,"12%",Пропуски внутри периода
Iceland,2000,2023,22,25,3,"12%",Пропуски внутри периода
Armenia,2003,2024,22,25,3,"12%",Непрерывный ряд (5+ лет)
Malaysia,2000,2024,22,25,3,"12%",Пропуски внутри периода
Ireland,2000,2022,23,25,2,"8%",Непрерывный ряд (5+ лет)
Belarus,2002,2024,23,25,2,"8%",Непрерывный ряд (5+ лет)
Romania,2000,2023,23,25,2,"8%",Пропуски внутри периода
Portugal,2000,2023,23,25,2,"8%",Пропуски внутри периода
Spain,2000,2024,23,25,2,"8%",Пропуски внутри периода
Georgia,2000,2023,23,25,2,"8%",Пропуски внутри периода
Finland,2000,2024,24,25,1,"4%",Пропуски внутри периода
Hungary,2001,2024,24,25,1,"4%",Непрерывный ряд (5+ лет)
Canada,2000,2023,24,25,1,"4%",Непрерывный ряд (5+ лет)
Latvia,2000,2024,24,25,1,"4%",Пропуски внутри периода
United Kingdom,2000,2023,24,25,1,"4%",Непрерывный ряд (5+ лет)
Slovenia,2000,2023,24,25,1,"4%",Непрерывный ряд (5+ лет)
Belgium,2000,2023,24,25,1,"4%",Непрерывный ряд (5+ лет)
Türkiye,2000,2023,24,25,1,"4%",Непрерывный ряд (5+ лет)
Kyrgyzstan,2001,2024,24,25,1,"4%",Непрерывный ряд (5+ лет)
Hong Kong,2001,2024,24,25,1,"4%",Непрерывный ряд (5+ лет)
Italy,2000,2023,24,25,1,"4%",Непрерывный ряд (5+ лет)
Austria,2000,2024,24,25,1,"4%",Пропуски внутри периода
Australia,2000,2024,24,25,1,"4%",Пропуски внутри периода
New Zealand,2000,2024,24,25,1,"4%",Пропуски внутри периода
"Moldova, Republic of",2001,2024,24,25,1,"4%",Непрерывный ряд (5+ лет)
Czechia,2000,2023,24,25,1,"4%",Непрерывный ряд (5+ лет)
Bulgaria,2000,2024,24,25,1,"4%",Пропуски внутри периода
Slovakia,2000,2024,25,25,0,"0%",Полные данные
Norway,2000,2024,25,25,0,"0%",Полные данные
Lithuania,2000,2024,25,25,0,"0%",Полные данные
Sweden,2000,2024,25,25,0,"0%",Полные данные
France,2000,2024,25,25,0,"0%",Полные данные
Denmark,2000,2024,25,25,0,"0%",Полные данные
Switzerland,2000,2024,25,25,0,"0%",Полные данные
Cyprus,2000,2024,25,25,0,"0%",Полные данные
"Korea, Republic of",2000,2024,25,25,0,"0%",Полные данные
Estonia,2000,2024,25,25,0,"0%",Полные данные
Poland,2000,2024,25,25,0,"0%",Полные данные
